naslov,avtor,dolzina,zvrst,o_pisatelju
Vsa moja poletja,Mieko Kawakami,524,roman,"Mieko Kawakami&nbsp;(1976) je kot pesnica debitirala leta 2006, leto kasneje pa objavila dve noveli in za drugo, naslovljeno&nbsp;<em>Dojke in jajčeca</em>, prejela nagrado za mlade literarne upe. Njeno najuspe&scaron;nej&scaron;e delo doslej, roman&nbsp;<em>Vsa moja poletja</em>, ki je iz&scaron;el leta 2019 in ji prinesel svetovno slavo, je zasnovala kot raz&scaron;irjeno in predelano različico svoje druge novele. Za avtoričino pisanje sta značilna eksperimentalni in poetični jezik, s katerim se loteva vpra&scaron;anj telesa, z njim povezane svobode in nerazre&scaron;enih dilem sodobne družbe, pri čemer naslavlja predvsem ženske. Mieko Kawakami je za svoja dela prejela več uglednih japonskih literarnih nagrad (Akutagawovo, Tanizakijevo in nagrado Murasaki &Scaron;ikibu), roman&nbsp;<em>Vsa moja poletja&nbsp;</em>pa je bil uvr&scaron;čen tudi med deset literarnih vrhuncev leta 2020 po izboru revije Time. Slavni japonski pisatelj Haruki Murakami je Kawakami razglasil za svojo najljub&scaron;o pisateljico in njeno delo označil za &raquo;nenehno rastočo in razvijajočo se pisavo&laquo;."
Naš skupni prijatelj,Charles Dickens,,roman,"Charles Dickens (1812-;1870) se je rodil v začetku 19. stoletja, sredi najbolj&scaron;ih in obenem najhuj&scaron;ih časov -; in bil je njihov odličen kronist. Popisal je grozovite resnice o viktorijanski Angliji in nevarnostih britanskega družbenega sistema. Avtor izredno priljubljenih romanov je&nbsp; bil več kot le pisatelj in njegove mnogotere življenjske izku&scaron;nje so bile temelj njegovih večnih zgodb. Pri rosnih dvanajstih je moral hoditi na delo ob reki Temzi, pri komaj petnajstih pa je že delal kot uradnik v odvetni&scaron;ki pisarni in odtlej se ni ločil od peresa. Njegova neverjetna pisateljska kondicija ga je naredila za najbolj priljubljenega angle&scaron;kega romanopisca svojega stoletja in vse odtlej so njegove knjige neprenehoma v tiskarskem obtoku."
Zgodbe iz labirinta,Marjan Tomšič,320,roman,"Marjan Tom&scaron;ič (1939-2023) je bil slovenski pisatelj in kulturni delavec, ki je v letih svojega ustvarjanja&nbsp;obveljal za najizrazitej&scaron;ega predstavnika slovenske različice magičnega realizma, obenem pa je to avtor, ki je Istro postavil na slovenski literarni zemljevid. Napisal je deset romanov, je avtor več zbirk kratkih zgodb, mladinskih del in pravljic, radijskih iger in dramskih besedil. Za svoje delo je prejel &scaron;tevilne nagrade, med drugim nagrado Pre&scaron;ernovega sklada.&nbsp;"
Gulliverjeva potovanja,Jonathan Swift,344,roman,"Jonathan Swift (1667-;1745), nepreseženi mojster satire, je živel v obdobju krize evropske zavesti. Bil je deležen najbolj&scaron;e izobrazbe vladajočega razreda, nato pa delal kot tajnik vplivnega diplomata sira Williama Templa, ki je imel bogato knjižnico potopisov, modernega zgodovinopisja, antičnih in modernih del. Swift je iz te knjižnice črpal navdih za monumentalna <em>Gulliverjeva potovanja</em>. Čeprav je tudi pesnil, večinoma pindarske ode, je pesni&scaron;tvo kmalu opustil. Že za časa življenja so mu pripisovali blaznost, dejansko pa je ves čas bolehal za M&eacute;ni&egrave;rovim sindromom. Umrl je leta 1745, epitaf v latin&scaron;čini pa si je napisal kar sam."
Kdo je ubil SEKS?,Andrej Capobianco,500,roman,"Andrej Capobianco je psevdonim dolgoletnega uslužbenca institucij Evropske unije, ki pi&scaron;e kolumne za +Portal in revijo El Normal. &Scaron;tirinajst let je bil poročevalec Evropske komisije, za katero je spremljal politične in gospodarske dogodke v Sloveniji. Odra&scaron;čal je v Rimu, kjer je obiskoval mednarodno angle&scaron;ko &scaron;olo, diplomiral iz ekonomije na univerzi La Sapienza in vzljubil nogomet. Čeprav že več let srečno živi v Sloveniji, nanjo gleda od &raquo;zunaj&laquo;. Iz strahospo&scaron;tovanja slovensko slovnico &scaron;e vika."
Učna ura ustvarjalnega pisanja,Michal Viewegh,83,roman,"Michal Viewegh (1962, Praga, Če&scaron;ka) je pisatelj. Nekateri kritiki ga obravnavajo kot družbeni pojav, njegov uspeh pa pripisujejo predvsem sposobnosti, da zabavni in humoristični žanr izpolnjuje na način romantične televizijske serije. Viewegh je pop zvezda sodobne če&scaron;ke literature, njegove knjige se prodajajo v velikih nakladah."
Knjiga reči,Aleš Šteger,112,poezija,"Ale&scaron; &Scaron;teger (1973) je pesnik, pisatelj, urednik in pobudnik &scaron;tevilnih knjižnih in kulturnih pobud. Z več kot &scaron;estdeset prevedenimi izvirnimi knjigami v več kot dvajset jezikov in &scaron;tevilnimi uvrstitvami v mednarodne antologije je eden mednarodno najbolj prepoznavnih slovenskih avtorjev. Objavlja v mednarodno uglednih časopisih in revijah, kot so The New Yorker, Boston Review, Neue Z&uuml;rcher Zeitung, Lettre International. Njegovo ustvarjanje pogosto sega prek literarnih mej k drugim umetnostim, npr. slikarstvu, arhitekturi, glasbi, scenaristiki; tudi Na kraju zapisano je nastajalo na preseku različnih umetni&scaron;kih in družbenih praks. Je prejemnik slovenskih in mednarodnih nagrad, med njimi prestižne nagrade Horsta Bieneka (2016), ki jo za pesni&scaron;ki opus podeljuje Bavarska akademija lepih umetnosti,&nbsp;leta 2017 je postal redni član Nem&scaron;ke akademije za jezik in pesni&scaron;tvo, leta 2021 pa je prejel Pretnarjevo nagrado festivala Lirikonfest in nagrado Alfreda Kolleritscha mesta Gradec.&nbsp;"
Med vedno in nikoli,Pia Tafdrup,216,poezija,"Pia Tafdrup (1952) je ena najpomembnej&scaron;ih in pogosto prevajanih danskih pesnic. Odra&scaron;čala je v prvinskem kmečkem okolju na severu otoka Zelandija. Leta 1977 je magistrirala na Univerzi v K&oslash;benhavnu. Napisala je že več kot dvajset del, predvsem pesni&scaron;kih zbirk, pi&scaron;e pa tudi prozo. Preživlja se izključno s pisateljevanjem, od leta 1999 prejema vseživljenjsko dotacijo danskega Državnega sklada za umetnost. Leta 1998 je bila gostja Vilenice, leta 2005 je nastopila na Trnovskih tercetih. Je prejemnica več literarnih nagrad. Leta 1999 ji je bila podeljena najprestižnej&scaron;a skandinavska literarna nagrada -; Nagrada nordijskega sveta za književnost. Je članica Danske akademije za književnost in nositeljica vite&scaron;kega reda Dannebrog."
Visoka okna,Philip Larkin,120,poezija,"Philip Larkin (1922 -; 1985) se je rodil v Coventryju v Veliki Britaniji. Velja za enega največjih pesnikov druge polovice preteklega stoletja v angle&scaron;ko govorečem okolju. Največje priznanje, ki ga je prejel za svoje pesni&scaron;ko ustvarjanje, je priznanje Queen&#39;s Gold Medal for Poetry."
Mikado,,123,poezija,
Prareka,Tone Rode,93,poezija,"Tone Rode (1969, Buenos Aires, Argentina) je pesnik in prevajalec. Njegov pesni&scaron;ki prvenec <em>Zenice</em> je iz&scaron;el leta 1991 v Argentini, prav tako leta 1997 njegova druga pesni&scaron;ka zbirka <em>Mesto</em> <em>pristan,</em> leta 2004 pa je pri založbi Družina iz&scaron;la njegova zbirka pesmi <em>Biti.</em> Leta 2001 je za svojo pesem <em>&raquo;El</em> <em>Espejo&laquo;</em> <em>(&raquo;Ogledalo&laquo;)</em> prejel nagrado Dru&scaron;tva argentinskih pisateljev, njegove pesmi so bile uvr&scaron;čene tudi v več antologijskih izborov."
"Rekla si, da hočeš",Matjaž Pikalo,118,poezija,"Matjaž Pikalo (1963, Slovenj Gradec) je književnik, igralec in glasbenik. Objavil je več pesni&scaron;kih zbirk, med njimi <em>Bille</em> in <em>Rekla si, da hoče&scaron;</em>, romanov, med njimi <em>Modri e in Evropa 2000</em>, mladinska in dramska dela. Za svoje delo je bil večkrat nagrajen, med drugim z nagrado <em>Večernica</em>. Leta 2017 je bil izbran za ugledno pisateljsko rezidenco na Univerzi v Iowi."
Kalejdoskop,Kajetan Kovič,80,poezija,"Kajetan Kovič (1931-;2014) velja za enega najpomembnej&scaron;ih slovenskih pesnikov in prevajalcev. Je soavtor zbirke Pesmi &scaron;tirih, ki velja za najpomembnej&scaron;e delo slovenskega liričnega intimizma. Napisal je več pesni&scaron;kih zbirk in proznih del, za kar je prejel &scaron;tevilne nagrade."
V besedah,Dane Zajc,476,poezija,"Dane Zajc (1929-;2005) je bil pesnik, dramatik, esejist in knjižničar, klasik slovenske in evropske književnosti. Njegov opus obsega osem izvirnih knjig pesmi ter sedem dram za odrasle. Za svoje ustvarjanje je prejel več nagrad, med njimi nagrado Pre&scaron;ernovega sklada, Pre&scaron;ernovo in dve Grumovi nagradi ter Fullbrightovo &scaron;tipendijo za priznanega umetnika."
Govori ženska,Jurij Hudolin,68,poezija,"Jurij Hudolin (1973) je slovenski pesnik, pisatelj, kritik, kolumnist in prevajalec, ki je na Filozofski fakulteti v Ljubljani &scaron;tudiral primerjalno jezikoslovje. Od leta 1995 je svobodni književnik; pi&scaron;e poezijo, prozo, scenarije in kolumne. Bil je urednik literarne revije Apokalipsa, nekaj časa je bil tudi glavni urednik založbe VBZ. Njegova dela so bila prevedena v hrva&scaron;ki, srbski, makedonski, če&scaron;ki in angle&scaron;ki jezik, revijalno v več kot trideset jezikov."
Stare pesmi pišem,Peter Rezman,136,poezija,"Pred &scaron;tirimi desetletji je dr. Matjaž Kmecl v antologijo Slovenske rudarske pesmi uvrstil tudi poezijo &raquo;knapa&laquo; Petra Rezmana (1956). Od takrat je Rezman izdal dve desetini knjig, od tega &scaron;tiri pesni&scaron;ke zbirke. Vsa ta leta je deloval na polju okoljevarstvene politike Velenjske kotline in pisal prozo, dramatiko in poezijo. Prislužil si je že lepo &scaron;tevilo nominacij, leta 2009 pa je za Skok iz kože prejel Dnevnikovo fabulo."
Avtoportret z rojem čebel,Jan Wagner,94,poezija,"Jan Wagner (1971) se je rodil v Hamburgu, odra&scaron;čal v Ahrensrburgu in po srednji &scaron;oli &scaron;tudiral anglistiko v Hamburgu, Berlinu in Dublinu. Danes je pesnik (njegova poezija je prevedena v več kot 30 jezikov), esejist in prevajalec angloameri&scaron;ke poezije (Charles Simic, James Tate, Simon Armitage, Matthew Sweeney, Robin Robertson &hellip;). Leta 2001 je izdal prvo pesni&scaron;ko zbirko. Od tedaj je poezijo in eseje objavil v več kot sedmih samostojnih knjižnih izdajah; prejel je &scaron;tevilne nagrade: poleg nagrade Anne Seghers (2004) in Friedricha H&ouml;lderlina (2011) ga je za pesni&scaron;ko zbirko Regentonnenvariationen (Variacije na sode deževnice) leta 2015 ovenčal leipzi&scaron;ki knjižni sejem, dve leti pozneje pa je prejel najbolj prestižno nem&scaron;ko literarno nagrado Georga B&uuml;chnerja, s katero so bili nagrajeni tudi Paul Celan, Max Frisch in Gottfried Benn. Leta 2017 je na Kitajskem prejel &scaron;e mednarodno nagrado za poezijo.). Skupaj s Federicom Italianom je leta 2019 uredil in izdal monumentalno antologijo mlaj&scaron;e evropske poezije Grand Tour. Wagner je član Nem&scaron;ke akademije za jezik in književnost."
Provinca. Mrak,Gašper Bivšek,97,poezija,"Rojen leta 1984 v Slovenj Gradcu. Živi, ustvarja in dela nad Mežico, nekdanjim rudarskim mestom. Pi&scaron;e poezijo in jo objavlja v domačih literarnih revijah. Pri &Scaron;tudentski založbi v Ljubljani je izdal svoj prvenec z naslovom <em>Skorjevec </em>ter drugo zbirko z naslovom <em>Provinca</em>. <em>Mrak</em>.&nbsp;"
Oblika raja,Uroš Zupan,78,poezija,"Uro&scaron; Zupan (1963, Trbovlje) je pesnik, esejist, prevajalec, urednik in mentor na pesni&scaron;kih delavnicah. Njegova pesni&scaron;ka dela so prevedena v &scaron;tevilne evropske jezike. Njegov pesni&scaron;ki prvenec <em>Sutre</em> iz leta 1991 velja za enega najodmevnej&scaron;ih v zadnjih desetletjih, za svoja dela je prejel več nagrad. Najuglednje&scaron;i sta nagrada Pre&scaron;ernovega sklada leta 1996 in nagrada Huberta Burde leta 1999."
Rod lepe vide - antologija sodobne poezije Slovencev v Italiji,Več Avtorjev,393,poezija,Več avtorjev
Stena srca,Valentina Plaskan,76,poezija,"Valentina Plaskan je televizijska in radijska voditeljica, novinarka, igralka ter učiteljica javnega nastopanja. Na Televiziji Slovenija vodi TV Dnevnik in deluje tudi kot novinarka. Pred tem je več let vodila osrednjo informativno oddajo na televiziji Planet TV, kjer je bila med drugim tudi urednica in voditeljica pogovorne oddaje Osebno z Valentino Plaskan. Je redna sodelavka Radia Slovenija, kjer poslu&scaron;alce tedensko nagovarja v legendarni satirični oddaji Radio Gaga. Svojo novinarsko pot je kot spikerka in novinarka pričela na Radiu &Scaron;tudent. Magisterij iz govora in javnega nastopa je opravljala na AGRFT, vzporedno pa se je lotila tudi &scaron;tudija partnerske in družinske terapije. Zaigrala je tudi v več filmskih produkcijah in slovenskih televizijskih in spletnih serijah."
Deklica s tisoč gubami,Nora Iuga,232,poezija,"Nora Iuga (1931, Bukare&scaron;ta) je pesnica, pisateljica, bibliotekarka in urednica. Velja za eno od najinovativnej&scaron;ih romunskih pesnic. Za svoje literarno delo je bila več krat nagrajena; za vsakega od svojih romanov je prejela nagrado Dru&scaron;tva pisateljev Romunije."
Vran,Ted Hughes,164,poezija,Ted Hughes (1930 -; 1998) se je rodil v Yorkshiru v Veliki Britaniji. Bil je pesnik in mladinski pisatelj. Kritiki ga uvr&scaron;čajo med enega najbolj&scaron;ih pesnikov svoje generacije in med eno največjih pesni&scaron;kih imen 20. stoletja. Od leta 1984 do svoje smrti je bil pesnik lavreat Velike Britanije. Leta 2008 ga je revija <em>The Times </em>uvrstila na četrto mesto med 50 najpomembnej&scaron;imi britanskimi pisatelji od leta 1945.
Zbrane pesmi - Srečko Kosovel,Srečko Kosovel,1180,poezija,"Srečko Kosovel (1904-;1926) je bil pesnik, kritik in publicist, eden najpomembnej&scaron;ih slovenskih pesni&scaron;kih ustvarjalcev. Kosovelovo ustvarjalno obdobje je bilo sicer zelo kratko, a izjemno intenzivno. Njegov pesni&scaron;ki opus ima med drugim značilnosti impresionizma, konstruktivizma in futurizma."
Tvoj glas je moj,,247,poezija,
Material,Andrej Brvar,174,poezija,"Andrej Brvar (1945) je slovenski lektor, urednik in pesnik. Na Filozofski fakulteti v Ljubljani je &scaron;tudiral primerjalno književnost in italijan&scaron;čino, od samega začetka svojega ustvarjanja pa je bil povezan z družbenokritičnimi in avantgardističnimi tokovi. Tako bil je član skupine 442, ki je združevala znane slovenske umetnike in književnike, in član znamenite mariborske peterice.&nbsp;"
Čelo na soncu,Lucija Stupica,104,poezija,"Lucija Stupica (1971, Celje) je pesnica in arhitekta. Od leta 1997 objavlja pesmi v literarnih revijah <em>Literatura </em>in <em>Sodobnost</em>. Posamezne pesmi iz njenega pesni&scaron;kega prvenca <em>Čelo na soncu</em> so prevedene v nekatere tuje jezike. Nastopila je na pesni&scaron;kih festivalih na Poljskem in v Kolumbiji."
Zvonovi pozimi,Czeslaw Milosz,595,poezija,"Czesłav Miłosz (1911 -; 2004) se je rodil v &Scaron;eteniaiju v Litvi. Bil je pisatelj, pesnik in diplomat. Je najeminentnej&scaron;e ime sodobne poezije, leta 1980 je bil nagrajen z Nobelovo nagrado za književnost za svoj pisateljski in pesni&scaron;ki opus."
Čipka na železu,Agi Mishol,150,poezija,"Agi Mishol (1946)&nbsp;je uveljavljena izraelska pesnica in učiteljica ustvarjalnega pisanja. Rojena je bila v Transilvaniji, v madžarski družini, ki je preživela holokavst in se leta 1950 preselila v Izrael. Doslej je objavila 16 zbirk poezije, vključno z dvema retrospektivnima zbirkama iz let 2003 in 2015. Prejela je &scaron;tevilne nagrade, med drugim domači Prime Minister Prize Award in Yehuda Amichay Prize ter italijansko nagrado lericiPea. Ima častna doktorata Univerze v Tel Avivu in Znanstvenega in&scaron;tituta Weizmann. Živi v agrarni skupnosti in je direktorica pesni&scaron;ke &scaron;ole Helicon v Tel Avivu."
"Kaj smo, ko smo",Cvetka Lipuš,112,poezija,"Cvetka Lipu&scaron; (1966) je avstrijska pesnica slovenskega porekla, ki prihaja iz umetni&scaron;ko plodovite skupnosti koro&scaron;kih Slovencev. Pi&scaron;e v sloven&scaron;čini, doslej je objavila sedem pesni&scaron;kih zbirk. Njene pesmi so prevedene v angle&scaron;čino, nem&scaron;čino in bolgar&scaron;čino."
What&#039;s in a name?,Ana Luisa Amaral,252,poezija,"Ana Lu&iacute;sa Amaral (1956-2022) je bila&nbsp;portugalska avtorica in profesorica angle&scaron;ke in ameri&scaron;ke književnosti in kulture na Univerzi v Portu, prevajalka in prejemnica več pomembnih nagrad, med drugim nagrade Giuseppe Acerbi, velike nagrade za poezijo Dru&scaron;tva portugalskih pisateljev, nagrade&nbsp;Giuseppeja Acerbija, Premio Internazionale Fondazione Roma: Ritrati di Poesia, nagradoePEN za leposlovje in nagrade&nbsp;Reina Sofia za iberoameri&scaron;ko poezijo. Med imeni avtorjev, ki jih je prevedla v portugal&scaron;čino, se znajdejo tudi Emily Dickinson, William Shakespeare in Louise Gluck. Poudariti velja, da je bila zelo dejavna v raziskovalni dejavnosti, posvečala se je zlasti&nbsp;raziskovanjem ženskega v književnosti, intertekstualnosti, primerjalni književnosti. Problematizirala je vpra&scaron;anje identitete in telesa in njegovo produktivnost z vidika književnosti."
Umišljanja,Michel Deguy,300,poezija,"(1930, Pariz) Velja za enega najbolj znanih francoskih pesnikov in esejistov. Je častni professor literature na Pari&scaron;ki VIII univerzi, redno sodeluje z revijama&nbsp;<em>Critique</em>&nbsp;(Kritika) in&nbsp;<em>Les Temps Modernes</em>. Med leti 1990 in 1992 je bil predsednik Coll&egrave;ge international de philosophie, med leti 1992 in 98 pa predsednik <em>La maison des &eacute;crivains</em> (Hi&scaron;a pisateljev) v Parizu. Je odgovorni urednik revije&nbsp;<em>Po&amp;sie</em>, ki jo je leta 1977 tudi sam ustanovil. Leta 1998 je prejel veliko nagrado za poezijo, leta 2004 pa veliko nagrado za poezijo, ki jo podeljuje Francoska akademija. Izdal je več kot petdeset pesni&scaron;kih zbirk."
